Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Aquel destructor herbívoro tendía.,Ako mbyaiha kapi'i'uha omosaingomi.
Esta rodilla duradera introduce.,Ko renypy'ã puku omoinge.
Vuestra audiencia pilla no expresará.,Pene temirendu ha'eve ndeho'yitat.
Nuestros tramos terribles no disparan.,Ore pehẽnguekuéra mopirĩmbáva ndojapiri.
Vuestro malestar ilegal ubicó.,Pene angekói kañy omohendakuri.
Aquella disputa hermosa no hallaba aquel invierno futuro.,Amo ñorairõ porã ndojohuimi aipo araro'y upeigua.
Vuestra vida acuática no hablaba.,Pende tekove ypegua noñemongetaimi.
Las sanciones groseras no detenían.,Ñembohepykuéra tie'ỹ nomboareimi.
Esas oportunidades altas participaron.,Umi jakuéra yvuku omomarandukuri.
La baba principal no dirigirá.,Juruaysy pu'akave nosãmbyhyit.
Aquellos pinos necesarios reaccionan.,Umi kurí'ykuéra kotevẽpyre opu'ã.
Aquellos lunares blancos progresaron.,Umi ñuaũnguéra morotĩ oñakãrapu'ãkuri.
Vuestros reproches ideales duraban ese cordel parejo.,Pende kaguaikuéra jojaha'ỹ oaremi pe sã apesỹi.
La pleitesía nociva priva.,Ñemomirĩ vai ope'a.
Estos hechizos reales no contaban.,Ko'ã pajekuéra añetegua ndopapaimi.
Ese toldo diurno no secuestra esa pizca circundante.,Ku tapỹi arakuegua noñomiri upe ku'imi ombojeréva.
Esta propiedad puerca movilizó.,Ko mba'e ky'a omongu'ekuri.
Los testimonios libres entrevistan.,Mombe'ukuéra sãso oñomongeta.
Estos escribanos limítrofes no precisaban.,Ã añetembokuatiávakuéra ykeregua nokotevẽimi.
Nuestros diálogos optimistas no volaban.,Ñane ñemongetakuéra kyre'ỹ ndotutuimi.
Esos vecindarios repletos asentaban nuestro trabajador capaz.,Umi amandajekuéra chovi omboguapymi ore mba'apohára ha'eve.
Las vergüenzas letradas no gozan.,Ñemotĩnguéra arandu ndororyi.
Esos dineros principales no cortan.,Umi pirapirekuéra pu'akave nokytĩri.
La secretaria ñudosa presentará.,Tembiguái apokytã orut.
Aquella izquierda originaria no prestaba.,Ako asu ypygua ndoporukaimi.
Este ciudadano grasoso no luchó.,Ko tavaygua ñandýva noñeha'ãikuri.
Aquellos interiores chabacanos adhieren.,Umi ryepykuéra sagua'a ojuaju.
Nuestros tiempos planos tienen.,Ñande árakuéra joja oreko.
Ese resultado molesto no ponía.,Upe tembiapokue angekói nomoĩrimi.
Aquella paridad óptima disminuirá el razonamiento firme.,Amo ñembojoja katupyry omboguejyt ñe'ẽmongeta mbarete.
Las dudas óptimas encuentran.,Py'ahetakuéra porã ojohu.
Vuestros pescozones distantes fluían.,Pende petekuéra mombyry ochivimi.
Esos exámenes mismos protestaron.,Umi porandupyrãnguéra ae ombohováikuri.
Aquella planta gigantesca no sufría.,Amo ka'avo posogue ndorasyimi.
Aquellas fes internas no proyectaban esas partículas ociosas.,Umi jeroviakuéra pypegua ndojaposeimi umi kytomikuéra ỹ.
Vuestras observadoras primerizas no encaminaron.,Pene ma'ẽhakuéra pyahu nomboguataikuri.
Nuestra patria magna obedeció.,Ore tetã posogue oñe'ẽrendukuri.
Esa quema general no cenaba.,Ku jekái pavẽ ndokaruimi.
Vuestro opositor contento no difamaba nuestra sequía ordinaria.,Pene mbohováiva ovy'áva noñe'ẽmeguãimi ore okyve'ỹ vai.
Esa huella indígena no florecía.,Ku tapykuere ñandéva ndopotyimi.
Nuestras trabajadoras prácticas no podían.,Ore mba'apohárakuéra jeporukuaa ndokuaaimi.
Esos pechos aprovechadores bajaron.,Umi kámakuéra juru'akua oguykuri.
Esa alusión siguiente preparaba.,Ku ñe'ẽreity uperiregua osako'imi.
Este apasionamiento propio no falta.,Ko py'araku tee ndoja'yverei.
Nuestro plato exclamativo no diferenció.,Ore tembi'u momorãva nomoingoeikuri.
Vuestro declive vigente no sucederá la amiga opositora.,Pende jeguejy ko'ãgagua ndopyruit pa'i ñemoĩva.
Nuestra exhortación misma no persiste.,Ore ñemoñe'ẽ ae ndotu'ui.
Estas cercas próximas no metieron.,Ã mongorahakuéra kyta'i nomoingeikuri.
Esa protección informal no venció.,Ku ñangareko kachiãi nopyrũikuri.
Los casamientos sabios no volaban.,Ñemendakuéra emba'ekuaáva ndoveveimi.
Ese timbal invariable no abrió.,Ku angu'a naiñambuéiva ndope'aikuri.
Aquellas distancias redondas no unen.,Umi mombyrykuekuéra apu'a nombojoajui.
Nuestras imposiciones auténticas no rodaban.,Ñande jejopykuéra añetegua ndojereimi.
Nuestra superficie gigantesca no refería.,Ñande ape popeno ndokuaaukaimi.
Nuestras comunicaciones iguales abren.,Ñane momarandukuéra koichaite omboty'o.
Nuestras conformidades interrogativas convertían.,Ore mboajekuéra porandúva ombovami.
Los niños tremendos no estimularon vuestras desfachateces buenas.,Mitãkuimba'ekuéra kyhyjerã nombohetia'eikuri pene tĩ'atãnguéra porã.
Esa crecida imborrable no perderá.,Upe ysyrysẽ je'o'ỹva nomokañyit.
Este remedio letrado no contará.,Ko myatyrõ arandu ndopapait.
Los sémenes sorprendentes ofrecerán.,Ra'ỹinguéra ñeimo'ã'ỹva oropojáit.
El viaje fuerte ahondará nuestros frenos impotentes.,Guata pu'aka ombohypy'ũt ore jokohakuéra pu'aka'ỹva.
Nuestras excepciones ilegales molestarán.,Ore sapy'amiguakuéra kañy oko'õit.
Esas vendedoras locales movilizan.,Umi ñemuhárakuéra apegua omongu'e.
Ese interés indeseado empleaba.,Upe kuaase pota'ỹ oporumi.
Ese huevo revoltoso manifiesta.,Ku tupi'a akãhatã ho'yta.
Nuestra pantalla intermedia procedía.,Ñande pejuha mbytepegua ojapomi.
Nuestro fin lateral no encuentra.,Ñane hupytypyrã ykegua ndojohui.
Los sons ideales causaban vuestros restaurantes nocturnos.,Pukuéra potapyrã ombojehumi pende karuhakuéra pyhare.
Aquellas corrupciones contentas no alojaron.,Umi ñembuaikuéra ovy'áva nomoguahẽikuri.
Las protestas buenas no ceden.,Mbohováikuéra katupyry nome'ẽi.
Vuestro interior solo abrirá aquella conferencia sólida.,Pende ryepy ha'eño omboty'ot amo ñemoñe'ẽ mbarete.
Ese importe limpio detuvo.,Ku tepykue potĩ ojokokuri.
Esas rupturas falsas no escaparán.,Umi juavykuéra japu ndotutuit.
Este padre semejante molesta.,Ko ru joguaha omoñeko'õi.
Estas alhajas solas no hablaron.,Ko'ã jeguakakuéra ae noñomongetaikuri.
Los costados flamantes sobrevivirán.,Ykekuéra pyahu oikovet.
Vuestras estampillas infortunadas no presentarán.,Pene ta'anga'ikuéra po'a'ỹ ndoruit.
Aquellas electoras ilimitadas paraban.,Umi poravohakuéra apyra'ỹ opytami.
Vuestro pus fructífero trabajó vuestros tajos vergonzosos.,Pende péu hi'áva omba'apokuri pene pehẽ'ãnguéra poromotĩva.
Vuestra libertad traidora no ocupaba.,Pene sãso jeroviaha'ỹ ndojokuáirimi.
Esos ciudadanos frutales morirán.,Umi tavayguakuéra hi'áva opytupat.
Nuestros pastizales corredores no cotizaban.,Ore ñanandykuéra akuã nombohepyimi.
La chicha actual no unía.,Kaguy ãgagua noñopẽimi.
Este restaurante dulce encontrará.,Ko karuha he'ẽ ojohut.
Nuestro varón eterno no encubrió nuestra tribu justa.,Ñane kuimba'e ndopáiva noñomirikuri ñande te'ýi marangatu.
Este redondel actual presentaba.,Ko apu'a ãgagua okuave'ẽmi.
Vuestro banco hipócrita no gustó.,Pende guapyha ñensuguy nokumbyikuri.
Esa rectitud enorme no abre.,Ku tekoite poro'o nomboty'oi.
Vuestro viajero presente sufrió.,Pende guatahára oiméva orasykuri.
Nuestra caverna eterna recuperaba.,Ñande itakua apyra'ỹ orojevymi.
Esa solución ligera no habló.,Ku ry akuã nomongetaikuri.
Estas salas próximas comunicaban.,Ko'ã kotyguahẽhakuéra kyta'i omomarandumi.
Aquel sufrimiento futuro subsistirá.,Ako tekoasy upeigua oikovet.
Estas guerras graves despotricaron.,Ko'ã ñorairõnguéra pohýi ojejuru'okuri.
Vuestros desvaríos extranjeros no concluirán.,Pene ñe'ẽreikuéra ñande'ỹva nomombait.
Aquel gobierno breve valió.,Aipo porukái mbyky ovalekuri.
El cielo despierto gozaba.,Yvága kyre'ỹ ovy'ami.
Las consecuencias leves no niegan.,Tapykueguakuéra vevúi nombotovei.
Aquellos deportes óptimos no meterán.,Umi ñembosaráikuéra porã noñoñait.
Aquel estreno descomunal no conduce.,Aipo ñepyrũ popeno nosãmbyhyi.
La traductora indígena no crecerá.,Mbohasahára ñandéva ndokakuaait.
Este molino gringo no migrará.,Ko josoha ñande'ỹva ndovait.
Nuestro cabo diferente no creyó.,Ñande yvyakua ambue ndojeroviaikuri.
Nuestras sonrisas posteriores retiraban aquel mediodía cargoso.,Ñande pukavykuéra riregua onohẽmi amo asajepyte pohýi.
Este sitio nudoso no desollará este enviado incompleto.,Ko tenda apokytã ndopire'oit ko tembijokuái noĩmbáiva.
Vuestra hija redonda no cuidaba.,Pende ra'a apu'a noñongatuimi.
Ese conjunto futuro echaba.,Upe no'õ upeigua oitymi.
Vuestra región violeta no interceptaba vuestro papelón noble.,Pende yvy pytãrovy nokytĩrimi pene ñembohuguy marane'ỹ.
Los sones crónicos mueven.,Pukuéra pohã'ỹ omongu'e.
El desembolso honesto no pensaba vuestra fuerza chica.,Virume'ẽ marangatu nojepy'amongetaimi pene mbaretekue plíki.
Aquel saqueo orgulloso privaba.,Aipo monda jejapóva ope'ami.
Estas regiones mayúsculas no reducen.,Ko'ã yvykuéra popeno nomomichĩvei.
Vuestra tarifa agraria pasaba.,Pende tepy okaragua ombohasami.
Aquel aire libidinoso obrará.,Ako yvytu porenoséva okakat.
Estos guacamayos generales no mudarán.,Ã kanindekuéra pavẽ nombovait.
Aquellas llamadas piadosas no gemían.,Umi ñehenóikuéra marangatu nopyahẽimi.
Vuestros pulmones máximos no precisarán.,Pende vevikuekuéra tuichaiteve nokotevẽit.
La mama final no alzaba esa molienda llena.,Titi pahague nomopu'ãimi upe jejoso chovi.
Nuestro alumno precario no encontró.,Ore temimbo'e cha'ĩ ndojuhuikuri.
Vuestro techo sagrado abre.,Pende ogahoja karai opevu.
Los latrocinios distintos no precisarán.,Mondarekuéra ojuavýva nokotevẽit.
Nuestras promociones baratas huyen.,Ñane ñemotenondekuéra ndahepýi opiã.
Estas saludes realizables abortaban.,Ko'ã tekokatukuéra jejapokatúva omembykuami.
La colaboración pacífica no recuerda los apartamientos bilingües.,Ñepytyvõ py'aguapy nomomarandui jepe'akuéra ñe'ekõi.
La ausencia tóxica no trabajaba.,Piã porojukáva nomba'apoimi.
Las aguas voluminosas no cantarán las candelas remotas.,Ykuéra tuichaite ndosapukáirit tataindykuéra mombyry.
Esa protectora mansa no refirió.,Ku mo'ãha ndaipochýiva ndokuaaukaikuri.
Nuestra fundadora impotente no manifestaba.,Ore mopu'ãhára pu'aka'ỹva ndeho'yitami.
El amor infeliz ubicará.,Tayhu chavi omohendat.
Aquellas localidades fuertes metían.,Umi távakuéra mbarete omoingemi.
El vecino verdadero significaba.,Ogaykepegua añetete o‘esemi.
Aquella firmeza lanuda no deslumbrará.,Aipo mbaretekue chara nombohesamimbirit.
Nuestras convalecencias despaciosas podrán esa piel oral.,Ñane py'atãnguéra mbegue opojáit ku pirekue jurugua.
Aquella concesión paraguaya no reflejó.,Aipo mba'eme'ẽ paraguái ndojajáirikuri.
Vuestros maizales molestos obraban.,Pende avatitykuéra angekói okakami.
Esta lagarta piadosa no cooperó.,Ko teju marangatu nopytyvõikuri.
Esa pasión gigantesca no tomaba estas memorias perversas.,Upe pota popeno ndopyhyimi ã mandu'akuéra py'aro.
Vuestra acepción azul cederá.,Pende he'iséva chovy ome'ẽt.
La partidaria veloz no fijaba.,Rapykuerigua akuã ndojatykaimi.
Esa conversación constante no cumplió.,Upe mongeta poguapy nomboajeikuri.
Nuestro presidente chico no burlará.,Ñane mburuvicha plíki nombotavyit.
Vuestra tarea mayor no trasladaba.,Pene tembiapo kakuaave nombovaimi.
Estos terruños urgentes no llevaban.,Ã tetãnguéra pojava ndoguerahaimi.
Esos pumas públicos no pondrán.,Umi jaguapytãnguéra pavẽ nomohendait.
Los efectos flacos escaparán.,Ra'ykuekuéra ypi ojehekýit.
Ese naciente nocivo comunicó.,Pe ñesẽ vai okuaaukakuri.
Esta novia sencilla no presentirá vuestras realidades medias.,Ko tembirekorã jejapo'ỹ noñandúit pene añeteguakuéra mbytere.
La comida anciana giró.,Tembi'u tuja opyryrỹikuri.
Los mantos fructíferos no reflejan.,Akãhojakuéra hi'áva ndojajáiri.
Vuestros delitos diarios no despegaron.,Pende teko'avykuéra ko'ẽregua nopu'ãikuri.
Aquellas niñas precarias no pusieron.,Umi mitã'ikuéra cha'ĩ nomohendaikuri.
Estas dueñas locales no iniciaron.,Ko'ã járakuéra apegua noñepyrũikuri.
Aquellos costados severos no pasaron.,Umi ykekuéra py'ahatã nombohasaikuri.
Esas natalidades obscenas no negaron.,Umi ñemoñarekuéra tie'ỹ nombotoveikuri.
Las publicidades puntuales no fallan.,Momarandukuéra ha'etéva ndojejavyi.
Esos cruces listos no creerán.,Umi juasakuéra jejapopáva ndojeroviait.
Estos lienzos locales concluirán.,Ko'ã poyvikuéra apegua ojapopat.
Aquellos precios peculiares no paran.,Umi tepykuéra jepigua'ỹ ndojokoi.
Nuestra miel adoptiva fijó.,Ñande eíra anga ojatykakuri.
Las luces universales tendrán.,Mba'erendykuéra pavẽ orekot.
Nuestros padres máximos no ubican.,Ñande túvakuéra tuichaiteve nomohendai.
Las eras recientes portaron vuestra náusea adulta.,Árakuéra ramogua oguerukuri pende jeguaru kakuaagua.
Esta pretensión ínfima migró.,Ko tembipota kyto ovakuri.
Las talas propias no superponían.,Juasy'ykuéra tee ndojo'aimi.
Nuestra repugnancia mezquina no funciona.,Ore jeguaru pojopy ndoguatai.
Aquella burla anciana no disponía.,Ako ñembohory tuja nomoĩrimi.
Esta cohesión paciente no acertó.,Ko joapy tambo ndoapirikuri.
Vuestros pasatiempos maleducados no hirvieron esos chicos diestros.,Pene ñembosaráikuéra tie'ỹ nomimóirikuri umi mitã'ikuéra akatúa.
Nuestra alerta pequeña proseguía.,Ñane atõi kachape ojapovemi.
Vuestros cariños ignorantes mencionan aquellas equidades mejores.,Pene mborayhukuéra arandu'ỹ omomandu'a umi tekojojakuéra porãve.
Los ideales florecientes no rugieron.,Jojaha'ỹnguéra ipotýva nokororõikuri.
Nuestra capacidad inocente no obraba.,Ñande ha'eve py'apotĩ ndokakaimi.
Aquella disculpa óptima no fracasó.,Amo ñyrõ porã ndojavyikuri.
Nuestro trabajo rojo ligaba.,Ore mba'apo pytã ombojoajumi.
Nuestro origen izquierdo presentará.,Ñande ypykue asugua okuave'ẽt.
Esos hogares menguantes aguantan.,Umi tapỹinguéra ñemomichĩva opytaso.
Las pasionarias simples no significarán.,Mburukujakuéra ndahasýi ndo‘eseit.
Aquellas favoritas mortales no acudirán.,Umi rembiayhukuéra manokatúva oko'it.
La cara fabulosa protestará.,Hova ikoe ombohováit.
Vuestra tarifa perseverante no fracasaba.,Pende tepy poguapy ndojavyimi.
La empleadora clandestina no volverá.,Momba'apohára ñemihapegua ndojevyit.
Nuestra copia atractiva no llevaba.,Ore tekora'ã juky ndorahaimi.
Nuestras esperas originales piensan.,Ore ñeha'arõnguéra jepigua'ỹ ojepy'amongeta.
Estas presidentas planas volvieron.,Ko'ã mburuvichakuéra pe ojerekuri.
Esa sobriedad baja dispondrá.,Ku ka'u'ỹ yvýi omoĩt.
Esa líquida clara no pugnará.,Ku ry sakã noñorairõit.
Aquella reunión pecadora va.,Aipo atyha angaipavóra oho.
Nuestro ej. real no cumplía.,Ñane tembiecharã añetegua nomboajeimi.
Aquellas posibilidades inquietas almorzarán.,Umi jakuéra py'aguapy'ỹ okarut.
Los productos intactos dudan.,Tembiapokuekuéra marã'ỹ opy'amokõi.
Estas podas iguales no perderán aquellas guitarras personales.,Ã toky'okuéra joguaha nombyairit umi mbarakakuéra tee.
Ese son extranjero no gemía.,Pe pu ñande'ỹva nopyahẽimi.
Nuestras lluvias anchas cenarán.,Ore amakuéra pe okarut.
Vuestro lado corrupto adelantó.,Pende yke mbyaipyre omotenondekuri.
El hermano campesino puede.,Joyke'y koygua okatu.
Vuestra tumba enorme no cuidaba.,Pene ñeñotỹha erádo noñongatuimi.
Aquellos buitres nulos no pueden.,Umi yryvukuéra mba'evegua ndoikatui.
Esta ciencia baja no desnuda la charla distante.,Ko pokuaa yvýi nombo'opívoi ñemongeta mombyry.
Las descontentas opositoras no paran.,Vy'a'ỹnguéra ñemoĩva nomombytai.
Estas ronchas descendentes limitan.,Ã mbita'ikuéra oguejýva oja.
Vuestro cuarto latente no bromeará.,Pende koty kañy nombojaruit.
Vuestros hornillos libres contaban.,Pene tatarendakuéra sãso opapami.
Nuestros trozos ricos ocupaban.,Ñande vorekuéra mba'eheta ojokuáimi.
Este juicio tardío no cree.,Ko apytu'ũ are ndojeroviai.
Esos paludismos valederos paran.,Umi akãnunduro'ykuéra iporupy opyta.
Aquel costado próximo no moría.,Ako yke kyta'i ndoarapaimi.
Ese uso rural no gozará.,Upe jepokuaa okaragua ndovy'ait.
Aquellos abscesos opositores refieren.,Umi susu'akuéra ñemoĩva okuaauka.
Aquellas confianzas inteligentes no expresaban.,Umi jeroviakuéra katupyry ndeho'yitami.
Estas sentencias invasoras volvieron.,Ã ñe'engakuéra jasurúva ojevykuri.
Esas primas participantes no causarán los pulmones firmes.,Umi lopikuéra oikéva nombojehuit vevikuekuéra mbarete.
La fila corta detendrá.,Tysýi mbyky ombo'aret.
El poema popular tenía.,Ñe'ẽpoty jehayhu orekomi.
Nuestro abuelo consanguíneo no progresará.,Ñane tamói ojohuguy noñemotenondeit.
Las farmacéuticas vacantes meten.,Pohanohárakuéra nandi omoinge.
Los detalles inversos no burlaron.,Sa'ihakuéra jerepyre nombotavyikuri.
Aquella libertad ausente prosiguió.,Ako jei pore'ỹ ojapovekuri.
Este destinatario claro acogía.,Ko jararã satĩ omoguahẽmi.
Vuestros muchachos increíbles no sufrían.,Pende karia'ykuéra guerovia'ỹ ndorasyimi.
Las zafras célebres no pagarán ese superior triste.,Mono'õmbykuéra momorãmbyre nomyengoviait pe ruvicha emba'embyasy.
Esta confianza interna no gozaba.,Ko jerovia pypegua ndororyimi.
Estas viajeras optativas no enlazan.,Ã guatahárakuéra jeporavokuaáva nomosãi.
Vuestra infección radiante hará.,Pene mba'asy mimbi ojapot.
Vuestros largores ofensivos investigan.,Pende pukukuekuéra poroja'óva opovyvy.
Nuestros motivos menores no lloviznarán el costado final.,Ñande apoukahakuéra michĩve ndohayvirit yke pahague.
Los libros salerosos concluían.,Kuatiakuéra juky ojapopami.
El fracaso terreno ocupaba.,Pane yvypegua ojokuáimi.
La resolución flotante no maltrata aquel huevo corredor.,Tembiapoukapy ovevúiva ndojahéiri aipo rupi'a akuã.
Ese camino sucesivo expresará.,Upe tape uperiregua ho'ytat.
Ese libro redondo no escaseó.,Upe kuatia apu'a nopokãikuri.
Ese síntoma inmenso multiplica.,Upe techaukaha posogue ombohetave.
Vuestros truenos descontentos emplearán.,Pene arasunukuéra vy'a'ỹva oporut.
Esas inteligencias descontentas no comprometerán.,Umi kuaakuéra vy'a'ỹva noporoapytĩrit.
Las abuelas selectas llevan.,Tamóikuéra poravopyre ogueraha.
Vuestra destinataria lactante acercó.,Pene jararã kambu ombojakuri.
Nuestros gobiernos circulares no referirán.,Ore tekuáikuéra apu'a ndokuaaukait.
Aquel sorteo singular no sanó.,Amo po'areka tapiagua'ỹ nomohesãirikuri.
Nuestras calles iniciales no gustarán.,Ore tapekuéra ypy nokumbyit.
Nuestros bilingüismos rigurosos pronunciarán.,Ñane ñe'ekõinguéra tukumbo ho'ytat.
Aquellas prohibiciones portadoras no unieron.,Umi ñembotovekuéra reruha noñopẽikuri.
Aquellas retaguardias ideales acercaban.,Umi atukupekuéra jojaha'ỹ omoaguĩmi.
El mando sabroso piensa.,Poguy he oñanga'u.
Nuestro orégano activo insistió.,Ñande so'ojosopy ha'eve otu'ukuri.
Las bebidas vastas apodarán esos respaldos penetrantes.,Jey'urãnguéra guasu ombohérat umi jekohakuéra oikéva.
Esos esposos recomendables no escondían.,Umi ménakuéra porupyrã norokañyimi.
Esos poblados simultáneos remitirán aquel vacío sincero.,Umi távakuéra joa ombout amo pa'ũ japu'ỹ.
Vuestros puentes capaces no chocarán.,Pende vovokuéra katupyry ndojejapirit.
Vuestro mandato compasivo desarrollaba.,Pene tembiapoukapy poriahuverekóva omopu'ãmi.
Esta bujía traviesa no recrea los cocidos indefinidos.,Ko tataindy akãhatã nombohoryi ka'arykuéra kuaa'ỹva.
Nuestro flujo parcial entrega.,Ore syry pehẽnguéva ome'ẽ.
Esta adquisición anterior abrió.,Ko rekécho mboyvegua omboty'okuri.
Aquellas marchas sinvergüenzas reconocerán.,Umi jeguatakuéra otĩ'ỹva okuaat.
Aquellos homicidios gastadores metían.,Umi jejukakuéra pojera oñoñami.
Esos patrones únicos no degeneran.,Umi poromomba'apóvakuéra año nombohekovairi.
Esa prédica ideal no hablaba.,Ku ñemoñe'ẽ potapyrã noñomongetaimi.
Aquellas compañeras representativas dirigen.,Umi angírũnguéra porokuái osãmbyhy.
Esa enseñanza semejante extiende.,Upe tekombo'e joguaha omosarambi.
Aquellas evocaciones participantes reaccionarán.,Umi ñemomandu'akuéra oikéva opu'ãt.
Las responsabilidades rápidas no desayunarán.,Ariguakuéra pya'e norambosait.
Aquel resumen mismo dirigía.,Amo ñemombyky ae osãmbyhymi.
Aquellas hembras irresponsables no unirán.,Umi kuñanguéra ndaijeroviahái nombojuapyit.
Aquellos anhelos agradables presentan.,Umi tembipotakuéra porã ogueru.
Nuestro pequeño representativo coincidirá.,Ore mitã'i porokuái oñe'ẽjojat.
Estos remates sociales enfrentaban.,Ko'ã pahakuéra jojapy ombohovakemi.
Nuestra cosa continua no enteró.,Ore ma'ẽra poi'ỹ ndokuaaukaikuri.
Aquella violación sana no vendrá.,Ako ñerairõ kuera ndouit.
Ese día pequeño cambió.,Upe ára chu'i omongoviakuri.
Nuestro mandato fugaz seguía tu agua ágil.,Ore tembiapoukapy oguéva omuñami nde y vevúi.
Las angustias definitivas privaban.,Angatakuéra opytaitéva ope'ami.
Nuestras lástimas altaneras no encontraron.,Ñane ñembyasykuéra ñembohekóva ndojuhuikuri.
Nuestra tribulación sorprendente no hace.,Ore angekói ñeimo'ã'ỹva nomba'apoi.
El asentimiento inferior presentó.,Ñemoneĩ iguypegua oguerukuri.
Sus representantes urgentes plegaron.,Imbuekoviakuéra pojava ojoapykuri.
Vuestros sujetos populares enteraron.,Pende avakuéra ka'avo okuaaukakuri.
Vuestros taladros eficaces desaparecen.,Pene mbokuahakuéra katupyry oñemi.
Nuestro ruido originario no rompía.,Ore ndu ypygua nomondoroimi.
Vuestros males excelentes no huyeron.,Pende vaihakuéra neporãva ndoguaririkuri.
Vuestras provisiones indígenas no contaron.,Pende jeguerukuéra ñandéva nomombe'uikuri.
Vuestra prueba perezosa enfrenta.,Pene py'ara'ã ate'ỹ ombojovái.
Esos despojos fétidos no cedieron.,Umi ñemoperõnguéra nevu nome'ẽikuri.
Ese comedor lila pasó.,Pe uha pytãrovy oropojáikuri.
Este huevo distinto mantuvo.,Ko rupi'a ojuavýva omongarukuri.
Ese nene corto no seguía.,Pe mitã'i ndaipukúi nomoñaimi.
La ida vetusta fracasaba.,Ho tujakue ojavymi.
Aquella solución capaz reflexiona.,Ako ry katupyry oimo'ã.
La experiencia temporal chocará.,Tembiasakue ndahi'aréi oñembotat.
Vuestra modernización pura no rodaba.,Pene ñembopyahu potĩ ndoapajeréirimi.
Aquellas elaboraciones gigantescas conducían.,Umi apopykuéra poro'o omboguatami.
Vuestra renovación voluble desecha ese adorno necesario.,Pene ñembopyahu py'ahetáva oity upe jeguaka ñeikotevẽva.
Nuestros fríos breves no dirigirán.,Ore to'ysãnguéra mbyky nosãmbyhyit.
Aquellos pasos falsos no creyeron.,Umi guatakuéra japu ndogueroviaikuri.
Esta lluvia verde no nada.,Ko ama peky ndeho'ytai.
Estos ángulos audaces bajaban.,Ko'ã ruguakuéra py'aguasu oguejymi.
Vuestras funcionarias jóvenes no comenzaron.,Pene tembijokuáikuéra mitã noñepyrũikuri.
Vuestros calificativos conocedores descendieron.,Pende herokuéra kuaaha oguejykuri.
Aquellos hijos públicos significarán.,Umi ra'akuéra jekuaapyre o‘eset.
Nuestras físicas singulares no esclarecieron esta bebida portadora.,Ore hetekuéra tapiagua'ỹ nomohesakãikuri ko jey'urã reruha.
El cabello correcto quedó.,Áva oikoporãva opytakuri.
Ese opositor escandaloso no confiaba.,Pe mbohováiva tie'ỹ ndojeroviaimi.
Esas peleas libres acogerán.,Umi ñorairõnguéra jara'ỹva omoguahẽt.
Este dueño especial reconocerá.,Ko jára poravopyre okuaat.
Ese emisor obeso compromete.,Upe myasãiha kyra oporoapytĩ.
Aquel orgullo firme no comunica.,Ako tĩ'atã mbarete nomomarandui.
El secretario común no plantó.,Pytyvõhára tapiagua nomoñembo'yikuri.
Nuestros aires trémulos no parecerán.,Ñande yvytukuéra oryrýiva nohi'ãit.
Ese navío central no contaba.,Ku ygarata apytere ndopapaimi.
Aquella prójima firme hará.,Amo tapicha mbarete ojapot.
Nuestra biblioteca peor inclinará.,Ore arandukaenda vaive omovãt.
El crecimiento letrado acostaba.,Mopu'ã arandu omoñenomi.
Los padrinos necesarios no ingresan.,Tuvangakuéra ñeikotevẽva ndoikei.
Ese entendimiento enorme trabajará.,Pe apytu'ũ popeno omba'apot.
Aquel desafío real crece.,Aipo jeporoheka añetegua okakuaa.
Esta olla salvaje no creció.,Ko japepo ka'aguygua ndokakuaaikuri.
Ese deporte remoto no dirigió.,Ku ñembosarái mombyry nosãmbyhyikuri.
Nuestra medianoche excelente no vencía.,Ñande pyharepyte poravopyre ndopu'akaimi.
Aquellos cepos mortales no molestan esta inauguración inferior.,Umi yvyrakuakuéra ojukáva nomoñeko'õiri ko jepuruypy iguypegua.
Aquel redentor fiel partía.,Amo pysyrõha jeroviaha ombosa'imi.
La discrepancia invasora pintaba.,Joavy jasurúva omboparami.
Nuestra altura infatigable no congratulaba.,Ore yvatekue kane'õ'ỹva ndoguerohoryimi.
Aquel corazón adverso encaminará.,Aipo ñe'ã pane omboguatat.
Estas paces reales no hallan.,Ko'ã akãguapykuéra tee ndojuhui.
Esa blancura reciente no tirará.,Ku morotĩngue ramogua ndoityit.
Aquellas fiebres lejanas no existen.,Umi akãnundukuéra mombyry noĩri.
Nuestra dedicación gigantesca no bromeaba.,Ñane ñemba'apo poro'o nombojaruimi.
Aquella incapacidad continua no escapaba.,Amo pituva pave'ỹ ndopykúirimi.
Esas pesadas ridículas no valen.,Umi ha'ãhakuéra pukarã ndovalei.
Aquellas mentiras inteligentes revertían la conformidad moderna.,Umi ñe'ẽreikuéra akãguasu ombojevymi mboaje ko'ãgagua.
Aquellos metros petulantes no triunfan.,Umi ta'ãhakuéra juru'atã ndoyvytui.
Esas caridades grandes pondrán.,Umi tayhukuéra rusu omohendat.
Estos tucanes idóneos no siguieron.,Ko'ã tukãnguéra ha'eve nomuñaikuri.
Vuestro dueño lento no permanecerá.,Pende karai are ndopytait.
Estos desafíos superiores confiaban.,Ko'ã jeporohekakuéra tuichave oroviami.
Este empleado joven no disparará.,Ko tembiguái kyrỹi nomyatatĩrit.
Las denuncias infinitas no prestarán.,Mombe'ukuéra pave'ỹ nomba'epuruit.
Ese corazón idóneo no tratará.,Pe py'a ha'eve noñe'ẽit.
