Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Nuestro paradero par no significa.,Ore pytaha jojaha ndo‘esei.
Las felicitaciones agradables no romperán.,Guerohorykuéra piro'y ndojokait.
Esta sociología parda no vendrá.,Ko tekopykuaa hũngy ndouit.
Esos auxilios bravos no ponen.,Umi ñemo'ãnguéra jero nomohendai.
Esas cartas fieles no dirigían.,Umi kuatiakuéra jeroviapy nosãmbyhyimi.
Esos puses decentes no obraban.,Umi péukuéra potĩ ndokakaimi.
Nuestros dioses inferiores necesitaron.,Ñane tupãnguéra iguypegua okotevẽkuri.
Esa multitud sabedora no saltó.,Upe teta kuaaha ndopopoikuri.
Esas hablas mismas no trabajaron.,Umi ñe'ẽnguéra ae nomba'apoikuri.
El pescador rojo reacciona.,Pirakutuha pytã opu'ã.
Las cegueras hermosas no flotan.,Tesatũnguéra porã ndovevúiri.
Aquel plato interno iniciará.,Aipo ña'ẽmbe pypegua oñepyrũt.
Esas picanas débiles podían.,Umi kutuhakuéra kuchu okatumi.
La lactancia orgullosa no halló.,Kambu jero ndojohuikuri.
Vuestras frutas enjutas no llevarán.,Pende ‘akuéra kã ndoguerahait.
Aquel cansancio propio no escurre.,Ako juku'a tee nombosyryi.
Este llanto tozudo no brillaba.,Ko tasẽ akãhatã nomimbirimi.
Ese director fortuito no goza.,Pe sãmbyhyha sapy'áva ndovy'ai.
Vuestros machos amplios no tirarán.,Pene kuimba'ekuéra pyrusu nomomboit.
Los truenos frutales no funcionaban.,Arasunukuéra hi'áva ndoguataimi.
Esos inodoros nasales no trasladan.,Umi guaterkuéra tĩgua nombovai.
Vuestras vergüenzas gelatinosas forcejeaban.,Pene tindykuéra aisy oñepia'ãmi.
Los compromisos vigorosos ofrecerán.,Poroapytĩnguéra mbarete okuave'ẽt.
Esa cartera opositora no contaba.,Ku voko ñemoĩva nomombe'uimi.
Vuestros ojos perfectos no participan.,Pende tesakuéra marane'ỹ nomomarandui.
Esos bandidos baratos lamentan.,Umi moñáikuéra ndahepýi ombyasy.
Las sospechas fétidas no insistieron.,Poyhukuéra ne ndotu'uikuri.
Vuestra directora argentina no puede.,Pende ruvicha kurepi ndokatui.
Esos reconocimientos diferentes ligarán.,Umi techakuaakuéra ojuavýva ombojoajut.
El turno innoble unió ese comportamiento inservible.,Ha marangatu'ỹva ombojuapykuri pe teko chu'i.
Nuestros aplausos indomables prestaban.,Ore jepopetekuéra saite oporukami.
La trampa amplia investigaba.,Mbotavy pyrusu opovyvymi.
Vuestras chicas correctas no iniciarán.,Pene mitã'ikuéra oikoporãva noñepyrũit.
Vuestras penitenciarías prudentes no beneficiaron.,Pene ka'irãinguéra akãguapy ndopojopyikuri.
El aire atractivo no enlaza.,Pytu ka'avo ndojurai.
Vuestros doctores sensatos presentaron.,Pene pohanohárakuéra akãguapy orukuri.
Nuestra instalación roja no accedió.,Ore ñemohenda pytã nomboajeikuri.
Nuestros abortos habituales no aguantaron.,Ore membykuakuéra meme ndojejokoikuri.
Vuestro niño indígena reduce.,Pene mitãkuimba'e ñandéva omomichĩve.
Nuestra caridad soltera molestará.,Ore tayhu mendare'ỹ omoangekóit.
Ese enredo pequeño no circulaba.,Ku apañuãi kachape ndosyryimi.
Esta confianza gringa no irrumpirá.,Ko jerovia ñande'ỹva ndosororoit.
Esta cena fuerte confecciona vuestra desgracia pronta.,Ko karu pu'aka ojapo pene tembiasy pojava.
Este precio tranquilo necesitaba.,Ko repy ñakãguapy okotevẽmi.
Aquellos dulces comparativos almorzaban.,Umi mahe'ẽnguéra mbojojáva orambosami.
Esos barullos curvos no actuaron.,Umi churuchuchukuéra karapã nomba'apoikuri.
Vuestros opresores populares coincidieron.,Pende jopyhakuéra jehayhu oñe'ẽjojakuri.
Nuestro extremo zurdo no lanza.,Ñane tĩ asu ndoityi.
Vuestros deberes viejos no insinúan.,Pene apoukarãnguéra tuja ndokuaaukavyi.
Las responsabilidades prontas no relacionan el nombre superior.,Ariguakuéra pojava nombokuaai téra yvateve.
Esas cerraduras sonoras vinculan vuestros soles jóvenes.,Umi mbotyhakuéra ipúva ombokuaa pende kuarahykuéra pyahu.
Aquella cárcel pequeña no cumplía.,Aipo yvyrakua mini nomboajeimi.
Vuestros novios corruptos fueron.,Pene menarãnguéra mbyaipyre ohokuri.
Esta nena contemporánea no hablaba.,Ko mitã'i ãgagua noñomongetaimi.
Vuestras campañas desleales no ocupaban.,Pende okárakuéra jeroviaha'ỹ ndojokuáirimi.
Vuestro estado personal unía.,Pende teko tee ombojuajumi.
Esa conferencia fanfarrona venció.,Ku ñemoñe'ẽ juruguasu opyrũkuri.
Esta magia lluviosa no despechó vuestra infección valedera.,Ko paje amandy nomombo'oikuri pene mba'asy iporupy.
Esta granja ideal participaba.,Ko kokue jojaha'ỹ omomarandumi.
Esta bondad rabona no puede estas pordioseras prácticas.,Ko py'aporã guevi ndokatui ã tupãmba'ejárakuéra jeporukuaa.
Este jovencito manco cumplió.,Ko mitãrusu po'ỹ omboajekuri.
Este pueblo rollizo no ubicaba.,Ko tetama kyrapu nomohendaimi.
Estas aldeas ciertas no uniformarán la siembra laxante.,Ko'ã távakuéra añete nomboaojojait ñeñotỹ porombohyéva.
Nuestros ángulos populares no cruzarán.,Ñande ruguakuéra ka'avo nombojuasait.
Las aproximaciones constantes no abrirán.,Ñembojakuéra noñemovãiva ndope'ait.
Esta esencia chata no permanecía.,Ko karaku mbe ndopytaimi.
Aquellos niveles notables hablarán.,Umi jojahakuéra kuaapyrã oñe'ẽt.
Estas firmas halagadoras innovarán.,Ko'ã teraguapykuéra mboaguaráva ombopyahut.
Vuestras iras magras no descansarán.,Pende pochykuéra piru ndopytu'uit.
Vuestros vínculos sordos no cagarán.,Pende joajukuéra nohendúiva ndokakait.
Aquellas propagaciones rosadas no detuvieron.,Umi ñemuasãinguéra pytãngy nomombytaikuri.
Nuestra justicia menuda no cena.,Ore tekojoja chu'i ndokarui.
Aquella pasión sencilla no disparaba.,Aipo taryrýi jejapo'ỹ nomyatatĩrimi.
Esta reacción gigantesca no movilizaba.,Ko pu'ã poro'o nomongu'eimi.
Nuestra cohesión agraria no plantará.,Ore joapy okaragua noñemitỹit.
Estos opositores próximos negocian vuestro bandido bravo.,Ko'ã mbohováivakuéra kyta'i oñemu pene moñái jero.
Vuestras amigas locas estuvieron.,Pende tayhupárakuéra tavy oikokuri.
Los temas admirables mirarán.,Ñe'ẽmbyrãnguéra momorãmbyrã omañat.
Vuestro público total no tiene.,Pende techahára oĩmbáva ndorekoi.
La herramienta misma no fijará.,Tembiporu ae nomombytait.
Las nubes temporales prescribían.,Araikuéra ndahi'aréi ojapoukami.
Estas concubinas corredoras no subieron.,Ko'ã kuñanguéra akuã ndojupirikuri.
Este término miedoso no adelanta.,Ko apy py'amirĩ nomotenondei.
El bulto conocedor no rompía.,Apytĩmby kuaaha nomopẽimi.
Vuestras sangres acuáticas mantuvieron.,Pende tuguykuéra ypegua orekokuri.
Nuestros defectos sólidos no defendían vuestra rutina negra.,Ore marãnguéra mbarete nopytyvõimi pende jepokuaa kamba.
Nuestros cenagales diferentes no volvieron.,Ñande karuguakuéra joavy ndojevyikuri.
Esas figuras libres hablaban.,Umi ta'angakuéra nandi oñomongetami.
Aquel peregrino verdadero coopera.,Amo hasaha añetete oñopytyvõ.
Esta ligadura curva compondrá.,Ko apytĩha karẽ omuatyrõt.
Aquellos alumnos interesantes no insinúan.,Umi temimbo'ekuéra pombovy'áva ndokuaaukavyi.
Vuestro atoramiento bello establecerá.,Pende pytuho porã omohendat.
Aquellos mordedores mixtos no cumplían el metro diario.,Umi su'uhakuéra jopara nomboajeimi ta'ãha ko'ẽregua.
Los gatos circundantes encuentran.,Chivikuéra ombojeréva ojuhu.
Aquellas invitaciones mayúsculas no hallaron.,Umi tenóikuéra popeno ndojuhuikuri.
El galán total no rodará.,Kichiha oĩmbáva ndoapajeréirit.
La viajera miserable no jugó.,Hasahára moopi noñembosaráirikuri.
Vuestras suertes anacrónicas no hablan.,Pende po'akuéra ymaguare nomongetai.
Esa paralización necesaria creerá.,Upe pyta kotevẽpyre oimo'ãt.
Esas esperas extranjeras no establecerán.,Umi ñeha'arõnguéra ñande'ỹva nomohendait.
Los juicios sospechosos hundieron.,Apytu'ũnguéra ndaijeroviahái omoñapymikuri.
Este convenio utilizable no falló.,Ko oñoñe'ẽ jeporukuaa ndojavyikuri.
Nuestras invitaciones urgentes presentaban.,Ore ñekuave'ẽnguéra pojava oguerumi.
Esa pescadora inversa no dirigía.,Ku pirakutuha jerepyre nosãmbyhyimi.
Vuestras querellas pacientes gritaban.,Pene ñorairõnguéra tambo osapukáimi.
Las refacciones principales no manifestaban.,Ñemyatyrõnguéra pu'akave ndeho'yitami.
Aquella convención lateral no juega.,Amo amandaje ykegua nombojarui.
Aquellas andanzas escasas creyeron.,Umi tembiasakuéra pokã oroviakuri.
Nuestra canaria raquítica obedecía.,Ore tyeju piruchĩ oñe'ẽrendumi.
Esa hija invasora no ubica vuestras ansias infinitas.,Ku ta'ýra jasurúva nomohendai pende py'apykuéra apyra'ỹ.
Estos presidentes universales ocupan.,Ã mburuvichakuéra oparupigua ojokuái.
Aquellos públicos inválidos no acceden.,Umi techahárakuéra marachachã noneĩri.
Vuestro ojo sagrado hacía.,Pende tesa marangatu omba'apomi.
Los servidores secretos harán nuestros encuentros futuros.,Pytyvõhakuéra herunguã omba'apot ñande juechakuéra upeigua.
Esta cáscara erecta no alzará.,Ko ape opu'ãva nomopu'ãit.
Vuestras galerías leves desarrollan.,Pende ogaguykuéra vevúi omopu'ã.
Esas diarreas legañosas estarán.,Umi chirikuéra sayku oimet.
Las morales presentes pronuncian.,Marangatukuekuéra ãgagua ho'yta.
Esos abscesos largos no obran.,Umi susu'akuéra puku ndokakai.
El encierro informal encuentra.,Ñemboty kachiãi ojohu.
Ese sobresalto opositor no seguía vuestros progenitores blanquecinos.,Ku pirĩ ñemoĩva nomuñaimi pende ypykuekuéra apatĩ.
Aquel arco local pagaba nuestros ejemplos revoltosos.,Ako guyrapa apegua omyengoviami ore techapyrãnguéra akãhatã.
Estas filas bilingües no volverán.,Ko'ã tysýikuéra ñe'ekõi ndojereit.
Las mamas duras no pudieron.,Kámakuéra atã ndopojáirikuri.
Sus bases siguientes no volverán.,H_# guapyhakuéra uperiregua ndojereit.
Nuestra serranía par no trabaja.,Ore yvytyrusu kõi nomba'apoi.
Vuestro campo corto no insistía.,Pende okára ndaipukúi ndotu'uimi.
Estos pescados presentes no corrían.,Ã pirakuéra ãgagua nombirikirimi.
Aquel secreto mismo comunica.,Aipo ñemimby ae okuaauka.
Vuestra quijada única no callaba.,Pene añykã año norokirirĩrimi.
La mandataria contemporánea hincha.,Mburuvicha ãgagua omboruru.
Vuestras pautas vacías dieron aquel labio transitorio.,Pene techaukarãnguéra nandi ome'ẽkuri amo tembe sapy'agua.
Vuestra vela impotente no comprometerá.,Pene tataindy pu'aka'ỹva noporoapytĩrit.
Este descalabro medio no gustará.,Ko pane mbytere nokumbyit.
Aquella selección moderna cuidaba.,Ako jeporavo pyahu oñangarekomi.
Nuestra superficie sucesiva no mitiga esas fealdades baratas.,Ore ape memegua nombovevúiri umi vaikuekuéra ndahepýi.
Vuestros ofrecimientos descomunales investigan vuestro quebranto superior.,Pene temikuave'ẽnguéra poro'o omboguyguy pene py'angekói tuichave.
Esa medicación intachable no limitó.,Upe ñepohano potĩ ndojaikuri.
Vuestra bomba intermedia participó.,Pene tembipu pa'ũmegua omomarandukuri.
Aquella declaración informal trata.,Ako ñemombe'u kachiãi oñe'ẽ.
Vuestra jugadora traviesa ocupa.,Pene ha'ãra akãhatã ojokuái.
Esa transición originaria no defendió la casa superiora.,Upe ñembohasa ypyguare nopytyvõikuri ogapy porãve.
El cuerno sólido no entrará esos vómitos cínicos.,Tatĩ mbarete ndoikeit umi gue'ẽnguéra otĩ'ỹva.
Aquella máxima electa gimió.,Amo ñe'enga jeporavopyre opyahẽkuri.
Esos préstamos grises ocupan.,Umi jeporukuéra hũngy ojokuái.
Vuestras individuas ricas obran.,Pende tapichakuéra mba'eheta okaka.
Vuestros castigos ilustres no preparan.,Pene ñembyepotikuéra arandu ndosako'iri.
Esos crecimientos sólidos ofrecieron.,Umi akãrapu'ãnguéra mbarete okuave'ẽkuri.
Esa herida moderna no lloraba.,Upe ai ko'ãgagua norohasẽimi.
Esas bondades bajas no pudieron.,Umi tekoporãnguéra karape ndoikatuikuri.
Aquellos impedimentos prontos no meterán.,Umi jokohakuéra pojava noñoñait.
Nuestros físicos pestilentes arribarán aquellos jugos semejantes.,Ore tetekuéra nevu oguahẽt umi rykuéra joguaha.
Nuestras rapiñas dóciles no significarán.,Ñane ñemondakuéra ñe'ẽrendu ndo‘eseit.
Esa era larga acababa.,Ku ára puku omohu'ãmi.
Nuestra duda vencedora meditaba.,Ore py'aheta pu'akave ojepy'amongetami.
Nuestros brazos activos encontraban.,Ñande jyvakuéra kyre'ỹ ojuhumi.
Vuestros ej.s inversos no progresan.,Pende techaukakuéra jerepyre noñakãrapu'ãi.
Nuestra defensora rosa no tiró.,Ñane mo'ãha pytãngy nomomboikuri.
Esos saltos pares no cruzaron.,Umi jepokuéra kõi nombojuasaikuri.
Nuestros embrujos vacíos no hablan.,Ñande pajekuéra nandi noñe'ẽi.
Nuestras lágrimas jóvenes no gritan.,Ñande tesaykuéra kyrỹi ndosapukáiri.
Esa trama electa no negará.,Upe pyaha jeporavopyre nombotoveit.
Nuestro artículo derecho pasará.,Ore mba'eñemu akatúa ojehut.
Vuestro significado electo no entendió.,Pende te'ise jeporavopyre nokumbyikuri.
Vuestro lugar urgente volvía.,Pene mamo pojava ojevymi.
La visibilidad gigantesca no venía.,Tesakã poro'o ndouimi.
Esta villa linda agarraba.,Ko táva porã opyhymi.
Estos centros iniciales no ubicaron.,Ko'ã puru'ãnguéra ypy nomohendaikuri.
Aquel metro permanente defendía.,Ako ta'ãha opytáva opytyvõmi.
Estos recintos altos dirigían.,Ã kotykuéra yvuku osãmbyhymi.
Aquellas rampas indígenas faltarán.,Umi guejyhakuéra ñandéva oja'yveret.
Nuestro bramido instantáneo interviene.,Ñane pyambu sapy'aitegua oñemoinge.
Nuestra magulladura previa tirará.,Ore ñehunga raẽ oha'ãt.
Esta empuñadura general disparaba.,Ko pyhyha pavẽ oha'ãmi.
Vuestro contemporáneo breve no asienta vuestro condiscípulo antiguo.,Pende javegua mbyky nomboguapyi pene irũ ymaguare.
Nuestra tutela terrible no acababa.,Ñande poguy mopirĩmbáva ndopaimi.
Esas muestras hondas mantienen.,Umi techarãnguéra pyko'ẽ omongaru.
Los alumnos enanos desaparecerán.,Temimbo'ekuéra karape oñemit.
Aquellas gentes legítimas manifestaban.,Umi yvypórakuéra añetegua ho'ytami.
Esas familias discretas no paran.,Umi ñemoñangakuéra kirirĩ ndojokoi.
Aquella propietaria hermosa rodaba.,Ako mba'ererekoha porã oapajeréimi.
Estos coladores chicos no defendieron.,Ko'ã mboguahakuéra michĩ nopytyvõikuri.
Esa relación pacífica no muda.,Ku jokuaa py'aguapy ndoguerovai.
Esta ruta maliciosa fija.,Ko tapeatã aña omboja.
Vuestra vez amarilla desaparecerá.,Pende jey sa'yju oñemit.
El metro malo no fijó.,Ta'ãha mbóre ndojatykaikuri.
Este pueblo ilegal inicia.,Ko tetama kañy oñepyrũ.
El plazo cabal no prescribe.,Arapa'ũ marangatu ndojapoukai.
Vuestra salvadora intacta no cambia.,Pene pysyrõha marã'ỹ nombojerei.
Nuestras alumnas vivarachas no aguantan.,Ñane temimbo'ekuéra saraki ndojejokoi.
Vuestras flagelaciones primerizas transitan.,Pene mbyepotikuéra pyahu oguata.
Esos mateadores bermejos no tuvieron.,Umi okay'úvakuéra pytã ndorekoikuri.
Ese estallido completo no cuidaba.,Pe mba'epu oĩmbáva noñongatuimi.
Nuestra carcoma urbana salía.,Ore tĩgua'a tavagua osẽmi.
Vuestro uso siniestro no toca.,Pende jepokuaa kyhyjepyrã nohámai.
Este sueño total contó.,Ko kéra oĩmbáva omombe'ukuri.
Ese oficio sordo hace ese hombre falso.,Upe apoha nohendúiva ojapo upe yvypóra japu.
Vuestras corrientes castas pudieron.,Pende syrykuéra marã'ỹ oikatukuri.
El penal leal no niega.,Ka'irãi jeroviaha nombotovei.
Vuestras gentes simples abrevian ese conocimiento recio.,Pende yvypórakuéra año omombyky upe emba'ekuaa mbarete.
Ese dueño semejante llovió.,Upe karai joguaha okykuri.
Esas amigas indomables no movilizaban.,Umi angírũnguéra sarigue nomongu'eimi.
Esos enlaces inciertos no rodeaban esos juicios iniciales.,Umi joajukuéra herunguã nombohokáirimi umi apytu'ũnguéra ypy.
El parecer correcto deliraba.,Temimo'ã oikoporãva oñe'ẽreimi.
Aquel muro manco sustrajo.,Amo ogyke po'ỹ ombosopekuri.
Nuestra querella increíble no hablaba.,Ñane ñorairõ guerovia'ỹ noñemongetaimi.
Esas compras previas no dirigían.,Umi mba'eñemukuéra raẽ nosãmbyhyimi.
Aquella arteria cínica no ocupaba.,Ako tajygue otĩ'ỹva ndojokuáirimi.
Esta letra diferente reinaba.,Ko tai ikoe oporosãmbyhymi.
Vuestra representación contenta no reglamenta.,Pene ta'anga ovy'áva ndojapoukai.
Esta obligación involuntaria no participaba.,Ko tembiaporã pota'ỹ nomomaranduimi.
Este grito interno consiguió vuestros señores profundos.,Ko sapukái pypegua opojáikuri pende karaikuéra pypuku.
Vuestra semilla grande comunicaba.,Pene ra'ỹi kakuaa okuaaukami.
Estas acciones brillantes persisten.,Ã tembiapokuéra mimbi ojetu'u.
Esas banderas frenéticas tienen.,Umi aovevekuéra py'atarova oguereko.
Aquellas posesiones universales no distaron.,Umi jerekokuéra pavẽ noimeikuri.
Vuestros escritores terrenos no ladraban.,Pende kuatiahaihárakuéra yvypegua noñarõimi.
Vuestra hijastra alta congratulará.,Pene tajyranga yvuku oguerohoryt.
Vuestra razón descontenta dependía.,Pende kuaaha vy'a'ỹva osaingomi.
Nuestras velocidades dañinas no significan.,Ore akuãnguekuéra mbyaiha ndo‘esei.
Vuestra nariz definitiva tira.,Pene tĩ opytaitéva omombo.
Nuestro pasaje listo medita.,Ñande hasaha jejapopáva opy'amongeta.
Los servicios anteriores vencían.,Pytyvõnguéra mboyvegua opyrũmi.
Las lagunas mentirosas no gustan.,Yno'õnguéra japu nokumbyi.
Los ejemplos indígenas introducirán.,Jechaukakuéra ñandéva oñoñat.
Nuestros físicos quietos creen.,Ore tetekuéra myi'ỹ orovia.
Nuestras tapas confidenciales festejan esa mitad pequeña.,Ñande aho'ihakuéra ñemihapegua orohory ku ku'a kyto.
Vuestro hurto final no adhería.,Pene ñemonda paha nombojaimi.
Aquella autoridad usual obedecía.,Ako tendota jepokuaa omboajemi.
Aquel cerro lindo no contó.,Ako yvyty porã ndopapaikuri.
Las corrupciones circulares mantendrán.,Ñembuaikuéra apu'a orekot.
Vuestra roña permanente flotaba.,Pende ky'akue tapiagua ovevúimi.
Esa fortaleza viva solidificaba vuestras clemencias completas.,Upe pyatã oikovéva omohatãmi pende poriahuverekokuéra oĩmbáva.
Nuestra picazón vigilante no podrá.,Ñane remói omañáva ndokatuit.
Nuestros alimentos mentirosos no hablaron nuestras urticarias limpias.,Ore hi'upykuéra japu noñemongetaikuri ore apenokuéra potĩ.
Las colas impasibles concurrieron.,Ruguáikuéra ñandu'ỹ oje'óikuri.
Estas cocinas diferentes no presentarán.,Ã tataypykuéra ikoe ndogueruit.
Estas cooperaciones siguientes actúan.,Ko'ã míngakuéra uperiregua omba'apo.
Aquellos mandatarios amables no presentaban.,Umi mburuvichakuéra pireporã ndogueruimi.
Aquellos detalles fuertes no leen.,Umi sa'ihakuéra mbarete nomoñe'ẽi.
Los resultados anchos no referían.,Tembiapokuekuéra pe ndokuaaukaimi.
Este sembrado letrado amaneció.,Ko temitỹ arandu oko'ẽmbakuri.
Nuestra espuma total defiende.,Ore tyjúi oĩmbáva opytyvõ.
Aquella felpa humilde no tomaba.,Amo taviju mirĩ nokuãchaĩrimi.
La idea general no cumplía.,Temimo'ã pavẽ nomboajeimi.
Aquella angustia pequeña no puso.,Ako angata mini nomohendaikuri.
Nuestras doctoras puntillosas cosieron estos compromisos participantes.,Ñane pohanohárakuéra ambu'a ombovyvykuri ko'ã poroapytĩnguéra oikéva.
Los orígenes amargos pugnaban.,Ypykuéra ro oñeha'ãmi.
Aquel lenguaje insensible tiene.,Ako ñe'ẽ ñandu'ỹ oreko.
Vuestras igualdades sucias no ultimaban esa vendedora penetrante.,Pene tembijojakuéra ky'a ndojukaimi upe ñemuhára oikéva.
Nuestro zumo tóxico cantaba vuestra esquina baja.,Ñande tykue porojukáva oropurahéimi pende tugua pe.
Nuestra electora pública no fracasa.,Ore poravoha jekuaapyre ndojavyi.
Vuestro turno profundo ofrecerá.,Pende ha pypuku oropojáit.
Estas verduras generales encontraban.,Ã ka'akuéra pavẽ ojohumi.
Aquellos fantasmas pésimos comunicarán.,Umi pórakuéra aña omomarandut.
Las casas loables no comenzarán.,Ogapykuéra momorãmbyrã nomoñepyrũit.
Vuestras pequeñas intrépidas volvieron.,Pene mitã'ikuéra py'aguasu ojerekuri.
Vuestro alimento conocedor perdía.,Pene tembi'u kuaaha ombyaimi.
Vuestro ej. malo toma.,Pene techapyrã ahẽ opyhy.
Esas atenciones delgadas no comunicarán.,Umi ñangarekokuéra piru ndokuaaukait.
Aquellos cruces especiales no entregan.,Umi juasakuéra poravopyre nome'ẽi.
Vuestras mudanzas siguientes molestaban.,Pene ñembovakuéra uperiregua omoangekóimi.
Aquel puerco oculto tomó.,Amo kure syvy opo'okuri.
Nuestros préstamos iniciales no paran.,Ñane mba'epurukuéra ypy nomombytai.
La apatía viva unió.,Ate'ỹ ha'eve ombojoajukuri.
Aquella desinfección piadosa no desarrollaba.,Amo ñemopotĩ marangatu nomopu'ãimi.
Vuestro empeño completo despegaba.,Pende jepytaso oĩmbáva oyvyrejami.
La mansedumbre original fijaba.,Marangatu ypykue ojatykami.
Aquel ántrax plácido no reconoció.,Aipo jati'i py'aguapýva ndokuaaikuri.
Este soporte parcial no transita.,Ko jokoha pehẽnguéva ndoguatai.
Aquella convención perpetua no reconocía.,Ako amandaje apyre'ỹ ndokuaaimi.
Vuestro cerco total puso.,Pende rokái oĩmbáva omoĩkuri.
Nuestras socias sociales no alojan.,Ore irũnguéra jojapy nomoguahẽi.
El pino dulce hallaba.,Kurí'y he'ẽ ojohumi.
Vuestros razonamientos únicos no escaparon.,Pene ñe'ẽmongetakuéra año ndojehekýirikuri.
Esos proyectos presentes no llevan.,Umi ñeimo'ãnguéra ãgagua ndorahai.
El club saliente cenaba.,Klu osẽva okarumi.
Las ventanas humildes descarrilaron.,Rovetãnguéra tupe omombiakuri.
Vuestros agricultores grises obrarán.,Pende kokueguárakuéra hũngy omba'apot.
Ese bandido práctico detendrá esas basuras internas.,Pe moñái jeporukuaa omboaret umi ytykuéra pypegua.
Aquellas prioridades ordinarias detienen.,Umi tenondeguakuéra vai omboare.
Esos entretenimientos agrarios no seguirán.,Umi ñembosaráikuéra okaragua nomoñait.
Vuestro estruendo largo trasladaba.,Pende tyapu vuku orovami.
Vuestros edemas completos no viven.,Pende rurukuéra oĩmbáva ndoikoi.
Esa liberalidad sólida no maneó aquella adhesión gorda.,Ku pojera mbarete ndokupyjokuaikuri ako joaju kyra.
Esa casa comparativa redujo.,Upe óga mbojojáva omombykykuri.
El propósito medio terminaba este tabaco desnudo.,Tembireka mbytere omombami ko petỹ opívo.
Ese gusano medular no planchaba la orquídea inteligente.,Upe sevo'i apytere ndopysoimi tamanakuna arandu.
Aquel plazo listo rodeaba.,Ako arapa'ũ pojava ojeremi.
Vuestra desavenencia oscura no producía.,Pende juavy pytũ nomoheñóirimi.
Vuestros amaneceres poderosos prolongaron aquella encargada necesaria.,Pene ko'ẽsorokuéra pu'aka ombopukuvekuri ako jarýi kotevẽpyre.
Vuestra duda presente lamentaba.,Pene py'amokõi ãgagua orombyasymi.
Nuestra siembra activa no habita.,Ore ñemitỹ ha'eve noĩri.
Aquellos bilingüismos oscuros diferenciaban.,Umi ñe'ekõinguéra ñypytũ ombojoavymi.
Esos puntapiés oscuros no estallan.,Umi pyvoikuéra nahesakãi ndosoroi.
Nuestra introducción leve compromete.,Ore moñepyrũ vevúi oporoapytĩ.
Tus médicos ininteligibles no pensaban.,Ne pohanohárakuéra ñekumby'ỹva nopy'amongetaimi.
Aquellas presas increíbles no hacían.,Umi rekéchokuéra guerovia'ỹ ndojapoimi.
Aquella cantera pésima fluirá.,Amo itakua mbóre osyryt.
Aquel término menor no rompía.,Aipo paha michĩve nomopẽimi.
Estos vetos chicos no crecían.,Ã ñembotovekuéra chu'i nopu'ãimi.
Nuestras inundaciones vigentes esperaban.,Ñane ysẽnguéra ãgagua ojeroviami.
Aquellas cárceles esféricas no paran la resistencia linda.,Umi kuarahy'ãnguéra apu'a ndojokoi tatã porã.
Estos ciudadanos antiguos ligarán.,Ã tetaguãnguéra yma ombojoajut.
Esta línea naciente no enterará.,Ko hai pyahu ndokuaaukait.
Aquellas verdades terribles no plantarán.,Umi añetekuéra jero noñotỹit.
Esos autores célebres no finalizarán.,Umi apohárakuéra momorãmbyre ndojapopait.
Los públicos terminales no metían.,Techahárakuéra pahague noñoñaimi.
Aquel papel infelice protestaba.,Ako kuatia morombi ombohováimi.
Aquellos rayos personales no vinieron.,Umi aratirikuéra tee ohua'ĩkuri.
Esa barrera precaria escurría.,Ku jokoha cha'ĩ ombosyrymi.
Nuestros cariños revesados erraban.,Ore mborayhukuéra ñypytũ omba'eavymi.
Esos sectores violetas no hablaron.,Umi pehẽnguekuéra pytãrovy noñomongetaikuri.
La seguridad duradera funciona.,Kyhyje'ỹ hi'are omba'apo.
Las lagunas remotas no ocuparon.,Yno'õnguéra mombyry ndojokuáirikuri.
Nuestras medidas argentinas no dirigirán.,Ñane ta'ãhakuéra kurepi nosãmbyhyit.
Nuestra gata aprovechadora no ofrecerá.,Ore mbarakaja juru'akua ndoropojáirit.
Esa chacra posterior conducía.,Ku kóga kupegua omboguatami.
Vuestras pistas preciosas no dispararon.,Pende rapykuerekuéra porãite ndojapirikuri.
Esas privaciones ínfimas no sonaban aquellas maceraciones parejas.,Umi jepe'akuéra kyto ndogualalaimi umi ñemohu'ũnguéra jave.
Nuestros empeños graves echaban.,Ñande jepytasokuéra pohýi omombomi.
Esa rea par dirigió.,Upe apovaihare jojaha osãmbyhykuri.
Vuestros mercados buenos no molestarán.,Pene ñemuhakuéra katupyry nomoangekóirit.
Los recibidores totales no acercaron.,Kotyguahẽhakuéra oĩmbáva ndorojaikuri.
Nuestro monte largo obedece.,Ore yvyty puku omboaje.
Las mensajeras observadoras hallan.,Temimboukuéra jesape'áva ojohu.
Las velocidades inversas bajarán.,Pya'ekuekuéra jerepyre orojyt.
Este empleado terminal duerme.,Ko tembiguái pahague oke.
Nuestros superiores dañinos no morían.,Ñande ruvichakuéra harúva nomanoimi.
Vuestros mensajes terrestres salieron.,Pene ñe'ẽmondokuéra yvypegua osẽkuri.
La palabra bisoña valdrá.,Ñe'ẽ pyahu ovalet.
La vez participante prosiguió.,Jevy oikéva ojapovekuri.
Nuestro hartazgo huérfano no necesitaba.,Ñane tenyhẽ tyre'ỹ nokotevẽimi.
Estas exposiciones iguales no inventaron vuestros chicos cenicientos.,Ko'ã tembiapochaukakuéra joguaha ndojohuikuri pene mitã'ikuéra apatĩ.
Aquellas receptoras enclenques no acercaron.,Umi henduhakuéra chavi nombojaikuri.
La helada nocturna no torturó esas malarias capaces.,Ro'yrypy'a pyharepegua nombyepotirikuri umi akãnunduro'ykuéra ha'eve.
